Datazone,Population,Air.quality,Noise,Congestion,Road.Repairs,Road.Safety,Hassle.Costs,Physical.Activity,Excess.Cold,Excess.Heat,Dampness,Diet.Change,Total,,£ millions total
E01016694,1551,1.29,0.09,0.28,0.16,0.04,-1.20,0.07,0.71,0.00,0.01,1.01,2.52,,
E01016695,1557,1.30,0.09,0.28,0.17,0.04,-1.20,0.07,0.71,0.00,0.01,1.01,2.53,,
E01016602,1614,1.34,0.19,0.29,0.17,0.04,-1.25,0.34,0.72,0.00,0.01,1.05,2.82,,
E01016696,1909,1.56,0.49,0.33,0.20,0.05,-1.47,2.21,0.45,0.00,0.03,1.24,5.30,,
E01016560,1577,1.28,0.50,0.29,0.17,0.04,-1.22,1.55,0.45,0.00,0.01,1.03,4.34,,
E01016699,1731,1.43,0.27,0.32,0.18,0.04,-1.34,1.75,0.74,0.00,0.01,1.13,4.58,,
E01016603,1846,1.52,0.31,0.33,0.20,0.04,-1.43,1.89,0.77,0.00,0.01,1.20,4.95,,
E01016700,1974,1.65,0.08,0.35,0.21,0.05,-1.52,0.02,0.89,0.00,0.01,1.28,3.10,,
E01016561,1827,1.52,0.07,0.32,0.19,0.04,-1.41,0.02,0.82,0.00,0.01,1.19,2.87,,
E01016701,1973,1.64,0.09,0.39,0.21,0.05,-1.52,1.52,0.87,0.00,0.01,1.28,4.62,,
E01016604,2221,1.83,0.53,0.41,0.24,0.05,-1.72,1.38,0.69,0.00,0.02,1.45,5.18,,
E01016752,1697,1.42,0.07,0.30,0.18,0.04,-1.31,0.02,0.77,0.00,0.01,1.10,2.67,,
E01016562,1390,1.14,0.33,0.27,0.15,0.03,-1.07,1.87,0.44,0.00,0.01,0.90,4.02,,
E01016702,1923,1.56,0.59,0.38,0.20,0.05,-1.48,2.81,0.52,0.00,0.02,1.25,5.54,,
E01016817,1502,1.23,0.36,0.29,0.16,0.04,-1.16,0.79,0.36,0.00,0.01,0.98,3.24,,
E01016703,2985,2.47,0.33,0.58,0.32,0.07,-2.31,1.58,1.38,0.00,0.02,1.94,6.64,,
E01016563,1396,1.15,0.20,0.25,0.15,0.03,-1.08,1.85,0.16,0.00,0.04,0.91,3.63,,
E01016704,2401,2.02,0.27,0.48,0.26,0.06,-1.88,3.56,0.34,0.00,0.06,1.59,7.03,,
E01016564,1751,1.46,0.20,0.33,0.19,0.04,-1.35,3.88,0.19,0.00,0.05,1.14,5.87,,
E01016705,1609,1.34,0.07,0.28,0.17,0.04,-1.24,0.02,0.73,0.00,0.01,1.05,2.53,,
E01016565,1703,1.42,0.09,0.33,0.18,0.04,-1.32,1.15,0.73,0.00,0.01,1.11,3.72,,
E01016706,1683,1.38,0.36,0.32,0.18,0.04,-1.30,0.86,0.42,0.00,0.01,1.09,3.60,,
E01016566,1772,1.48,0.29,0.33,0.19,0.04,-1.37,2.36,0.46,0.00,0.03,1.16,4.95,,
E01016707,1802,1.48,0.36,0.35,0.19,0.04,-1.39,1.73,0.60,0.00,0.01,1.17,4.39,,
E01016567,3263,2.70,0.58,0.62,0.35,0.08,-2.52,4.48,0.39,0.00,0.08,2.12,9.77,,
E01016583,1910,1.63,0.21,0.36,0.21,0.05,-1.52,2.68,0.23,0.00,0.05,1.29,5.34,,
E01016568,1305,1.09,0.13,0.22,0.14,0.03,-1.01,1.36,0.17,0.00,0.03,0.85,3.04,,
E01016708,1656,1.37,0.18,0.32,0.18,0.04,-1.28,0.88,0.76,0.00,0.01,1.08,3.68,,
E01016569,1033,0.86,0.14,0.20,0.11,0.02,-0.80,0.65,0.33,0.00,0.01,0.67,2.32,,
E01016709,1685,1.40,0.27,0.32,0.18,0.04,-1.30,1.57,0.42,0.00,0.02,1.10,4.05,,
E01016570,1592,1.32,0.18,0.31,0.17,0.04,-1.23,1.01,0.68,0.00,0.01,1.04,3.67,,
E01016631,1332,1.10,0.16,0.24,0.14,0.03,-1.03,0.28,0.59,0.00,0.01,0.87,2.33,,
E01016748,2130,1.77,0.25,0.40,0.23,0.05,-1.65,4.67,0.80,0.00,0.02,1.39,7.94,,
E01016710,2026,1.69,0.08,0.36,0.22,0.05,-1.56,0.02,0.91,0.00,0.01,1.32,3.18,,
E01016596,1962,1.63,0.16,0.38,0.21,0.05,-1.52,1.11,0.90,0.00,0.01,1.28,4.15,,
E01016692,1580,1.32,0.11,0.30,0.17,0.04,-1.22,1.29,0.68,0.00,0.01,1.03,3.62,,
E01016571,1843,1.53,0.22,0.33,0.20,0.04,-1.42,0.39,0.82,0.00,0.01,1.20,3.22,,
E01016632,1882,1.56,0.23,0.34,0.20,0.05,-1.45,0.40,0.84,0.00,0.01,1.22,3.29,,
E01016750,1581,1.31,0.18,0.29,0.17,0.04,-1.22,0.87,0.70,0.00,0.01,1.03,3.30,,
E01016711,2944,2.46,0.12,0.52,0.31,0.07,-2.27,0.03,1.33,0.00,0.02,1.91,4.63,,
E01016572,1277,1.05,0.27,0.22,0.14,0.03,-0.99,1.34,0.56,0.00,0.01,0.83,3.40,,
E01016554,1800,1.51,0.16,0.33,0.19,0.04,-1.39,1.66,0.81,0.00,0.01,1.19,4.27,,
E01016636,1480,1.23,0.14,0.27,0.16,0.04,-1.14,0.80,0.66,0.00,0.01,0.96,3.07,,
E01016753,2192,1.80,0.43,0.41,0.23,0.05,-1.69,2.67,0.66,0.00,0.02,1.43,5.82,,
E01016713,1736,1.43,0.41,0.33,0.18,0.04,-1.34,1.99,0.34,0.00,0.02,1.13,4.35,,
E01016633,1366,1.14,0.03,0.26,0.14,0.03,-1.05,0.84,0.58,0.00,0.01,0.89,2.90,,
E01016534,1624,1.33,0.38,0.31,0.17,0.04,-1.25,1.02,0.54,0.00,0.01,1.06,3.77,,
E01016818,1799,1.48,0.44,0.32,0.19,0.04,-1.39,3.14,0.61,0.00,0.02,1.17,6.01,,
E01016714,2289,1.90,0.18,0.44,0.24,0.05,-1.77,1.18,1.03,0.00,0.01,1.49,4.73,,
E01016808,1346,1.12,0.16,0.24,0.14,0.03,-1.04,0.29,0.60,0.00,0.01,0.88,2.35,,
E01016819,1279,1.07,0.05,0.23,0.14,0.03,-0.99,0.01,0.58,0.00,0.01,0.83,2.01,,
E01016637,1096,0.91,0.04,0.19,0.12,0.03,-0.85,0.01,0.49,0.00,0.01,0.71,1.72,,
E01016573,1523,1.27,0.06,0.27,0.16,0.04,-1.18,0.02,0.69,0.00,0.01,0.99,2.39,,
E01016715,1800,1.49,0.29,0.34,0.19,0.04,-1.39,2.68,0.58,0.00,0.02,1.17,5.22,,
E01016597,1699,1.41,0.20,0.31,0.18,0.04,-1.31,0.36,0.76,0.00,0.01,1.11,2.97,,
